Gender,Height,Weight
Male,187.5714232,82.50546512
Male,174.7060363,73.62273184
Male,188.2396677,96.49755017
Male,182.1966851,99.80950419
Male,177.4997615,93.59861875
Male,170.8226599,69.04221617
Male,174.7141064,83.42821885
Male,173.6052294,76.19035195
Male,170.2281321,79.80018673
Male,161.1794947,70.94164202
Male,180.836271,84.64250141
Male,181.967645,96.95128456
Male,164.506476,75.80767934
Male,175.9789981,85.93127231
Male,175.8790799,84.56504713
Male,171.819874,78.102614
Male,183.9425242,88.91696223
Male,162.4947873,78.41855901
Male,176.8857521,84.3608353
Male,172.5574523,82.74726812
Male,172.5042275,78.97759251
Male,176.3761773,89.68939099
Male,168.0187952,67.66393615
Male,191.023173,103.7645136
Male,172.4487187,73.4849212
Male,173.0858433,87.24568903
Male,175.4876638,83.65831963
Male,184.9141425,93.81561209
Male,171.2499554,79.47563349
Male,173.980895,70.00858626
Male,174.2900008,85.05160402
Male,188.0458714,96.57437491
Male,181.6816687,88.46506526
Male,175.7176092,93.06964915
Male,176.726094,92.60721401
Male,178.8183594,87.49949122
Male,175.4534748,89.57908694
Male,170.6715491,83.37518696
Male,167.1505818,74.32187696
Male,163.3326372,73.98449169
Male,172.654814,78.0793299
Male,183.3611419,88.0174433
Male,165.7866776,76.48366073
Male,167.8690505,73.11605148
Male,171.4762167,74.6885845
Male,178.0661571,85.69364535
Male,173.3596646,84.84916999
Male,183.3186812,94.83287107
Male,175.7168384,87.09616642
Male,185.0907148,95.86326581
Male,164.5477608,75.12010875
Male,178.2662167,91.20461347
Male,173.9682836,78.663721
Male,171.0203104,82.28507207
Male,170.156998,76.99166617
Male,168.9088567,74.07589556
Male,173.6167639,86.05103353
Male,179.767126,87.14629374
Male,180.8884461,89.90123773
Male,177.833948,95.0395441
Male,181.3640828,90.15585189
Male,176.6620929,89.84728731
Male,187.4990778,88.58225937
Male,170.1720822,74.81696269
Male,181.4029034,81.58482717
Male,165.8094225,70.42034883
Male,173.4164463,83.69651969
Male,184.8240397,100.0977942
Male,172.9724247,83.14915394
Male,174.9976334,89.10874365
Male,175.9953553,83.73109116
Male,179.1289903,94.13523528
Male,176.9458621,80.3769237
Male,171.6919828,73.98448493
Male,184.1706258,98.07485943
Male,180.9825834,92.83009474
Male,182.3953347,91.13596373
Male,183.5027203,100.1992756
Male,168.9420743,89.10808503
Male,167.7137464,76.49412229
Male,171.645971,82.29642716
Male,173.3462842,90.10998494
Male,187.5183626,107.9171281
Male,177.2982595,78.49012935
Male,167.5373276,72.8849391
Male,180.5407047,85.54877528
Male,169.1543392,94.50394003
Male,175.1368991,87.74062227
Male,173.3409329,78.97476423
Male,183.6847358,89.52481311
Male,182.4111679,91.45352145
Male,165.7021058,82.10558295
Male,179.4269464,82.60930267
Male,164.419091,80.53492548
Male,170.44302,74.83115001
Male,165.3984116,75.16795636
Male,182.1211344,87.58596781
Male,169.7555107,81.95676567
Male,168.8370392,78.36877852
Male,176.3052766,80.49925174
Male,177.9325308,91.08977269
Male,169.5287558,76.08542016
Male,168.336796,70.03262024
Male,173.5542579,80.73244902
Male,177.992756,83.43319402
Male,174.5817899,81.28585552
Male,171.5923702,71.92517054
Male,168.2842266,75.52466991
Male,175.7227948,78.01042029
Male,171.7271265,79.09019822
Male,176.0035546,85.15978966
Male,173.2043374,91.39332784
Male,181.8819979,92.95325327
